Feature (description),Attribute,F,T
C_D_C1961131 ('Cough  CTCAE'),P,0.6569,0.1764
C_D_C1962948 ('Atelectasis  CTCAE'),M,0.956,0.99
C_D_C1962948 ('Atelectasis  CTCAE'),N,0.0012,0.0001
C_D_C1962948 ('Atelectasis  CTCAE'),P,0.0428,0.0098
C_D_C1962958 ('Hematoma  CTCAE'),M,0.9934,0.9622
C_D_C1962958 ('Hematoma  CTCAE'),N,0.0016,0.0043
C_D_C1962958 ('Hematoma  CTCAE'),P,0.0051,0.0335
C_D_C1963064 ('Anxiety  CTCAE 3.0'),M,0.944,0.8689
C_D_C1963064 ('Anxiety  CTCAE 3.0'),N,0.0226,0.0561
C_D_C1963064 ('Anxiety  CTCAE 3.0'),P,0.0335,0.075
C_D_C1963065 ('Apnea  CTCAE'),M,0.9623,0.976
C_D_C1963065 ('Apnea  CTCAE'),N,0.007,0.0015
C_D_C1963065 ('Apnea  CTCAE'),P,0.0307,0.0225
C_D_C1963066 ('Joint Pain  CTCAE 3'),M,0.9409,0.8988
C_D_C1963066 ('Joint Pain  CTCAE 3'),N,0.0358,0.0563
C_D_C1963066 ('Joint Pain  CTCAE 3'),P,0.0233,0.0449
C_D_C1963071 ('Back Pain  CTCAE 3.0'),M,0.9039,0.8048
C_D_C1963071 ('Back Pain  CTCAE 3.0'),N,0.0346,0.0607
C_D_C1963071 ('Back Pain  CTCAE 3.0'),P,0.0615,0.1345
C_D_C1963076 ('Platelets  CTCAE'),M,0.6803,0.7483
C_D_C1963076 ('Platelets  CTCAE'),N,0.0004,0.0001
C_D_C1963076 ('Platelets  CTCAE'),P,0.3193,0.2516
C_D_C1963083 ('Cholecystitis  CTCAE 3.0'),M,0.9926,0.9793
C_D_C1963083 ('Cholecystitis  CTCAE 3.0'),N,0.0004,0.0014
C_D_C1963083 ('Cholecystitis  CTCAE 3.0'),P,0.007,0.0193
C_D_C1963086 ('Confusion  CTCAE 3.0'),M,0.9669,0.917
C_D_C1963086 ('Confusion  CTCAE 3.0'),N,0.021,0.0681
C_D_C1963086 ('Confusion  CTCAE 3.0'),P,0.0121,0.0149
C_D_C1963087 ('Constipation  CTCAE'),M,0.9168,0.8752
C_D_C1963087 ('Constipation  CTCAE'),N,0.0237,0.0318
C_D_C1963087 ('Constipation  CTCAE'),P,0.0595,0.0931
C_D_C1963090 ('Dehydration  CTCAE'),M,0.8063,0.9516
C_D_C1963090 ('Dehydration  CTCAE'),N,0.0047,0.0016
C_D_C1963090 ('Dehydration  CTCAE'),P,0.189,0.0468
C_D_C1963091 ('Diarrhea  CTCAE'),M,0.5741,0.649
C_D_C1963091 ('Diarrhea  CTCAE'),N,0.1315,0.1476
C_D_C1963091 ('Diarrhea  CTCAE'),P,0.2944,0.2033
C_D_C1963093 ('Dizziness  CTCAE 3.0'),M,0.9603,0.8982
C_D_C1963093 ('Dizziness  CTCAE 3.0'),N,0.0082,0.0164
C_D_C1963093 ('Dizziness  CTCAE 3.0'),P,0.0315,0.0854
C_D_C1963113 ('Fracture  CTCAE'),M,0.9879,0.8621
C_D_C1963113 ('Fracture  CTCAE'),N,0.0031,0.0416
C_D_C1963113 ('Fracture  CTCAE'),P,0.0089,0.0963
C_D_C1963138 ('Hypertension  CTCAE'),M,0.8767,0.8115
C_D_C1963138 ('Hypertension  CTCAE'),N,0.0019,0.0033
C_D_C1963138 ('Hypertension  CTCAE'),P,0.1214,0.1851
C_D_C1963140 ('Hypoxia  CTCAE'),M,0.937,0.9869
C_D_C1963140 ('Hypoxia  CTCAE'),N,0.0062,0.0031
C_D_C1963140 ('Hypoxia  CTCAE'),P,0.0568,0.01
C_D_C1963175 ('Sinus Bradycardia  CTCAE'),M,0.9953,0.9832
C_D_C1963175 ('Sinus Bradycardia  CTCAE'),N,0.0004,0
C_D_C1963175 ('Sinus Bradycardia  CTCAE'),P,0.0043,0.0167
C_D_C1963177 ('Muscle Pain  CTCAE 3'),M,0.9242,0.8844
C_D_C1963177 ('Muscle Pain  CTCAE 3'),N,0.0268,0.0857
C_D_C1963177 ('Muscle Pain  CTCAE 3'),P,0.049,0.0299
C_D_C1963179 ('Nausea  CTCAE 3.0'),M,0.7417,0.5959
C_D_C1963179 ('Nausea  CTCAE 3.0'),N,0.0906,0.1942
C_D_C1963179 ('Nausea  CTCAE 3.0'),P,0.1676,0.2098
C_D_C1963180 ('Neck Pain  CTCAE 3.0'),M,0.8868,0.8529
C_D_C1963180 ('Neck Pain  CTCAE 3.0'),N,0.0887,0.0874
C_D_C1963180 ('Neck Pain  CTCAE 3.0'),P,0.0245,0.0597
C_D_C1963184 ('Nystagmus  CTCAE 3.0'),M,0.9914,0.9786
C_D_C1963184 ('Nystagmus  CTCAE 3.0'),N,0.0047,0.0188
C_D_C1963184 ('Nystagmus  CTCAE 3.0'),P,0.0039,0.0027
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),M,0.9907,0.968
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),N,0.0012,0.0017
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),P,0.0082,0.0303
C_D_C1963215 ('Pneumothorax  CTCAE'),M,0.881,0.9473
C_D_C1963215 ('Pneumothorax  CTCAE'),N,0.0296,0.0123
C_D_C1963215 ('Pneumothorax  CTCAE'),P,0.0895,0.0404
C_D_C1963221 ('Aspiration  CTCAE'),M,0.9704,0.9887
C_D_C1963221 ('Aspiration  CTCAE'),N,0.0012,0.0007
C_D_C1963221 ('Aspiration  CTCAE'),P,0.0284,0.0106
C_D_C1963223 ('Rash and Dermatitis Associated with Radiation Excluding Chemoradiation  CTCAE'),M,0.9918,0.9647
C_D_C1963223 ('Rash and Dermatitis Associated with Radiation Excluding Chemoradiation  CTCAE'),N,0.0016,0.0137
C_D_C1963223 ('Rash and Dermatitis Associated with Radiation Excluding Chemoradiation  CTCAE'),P,0.0066,0.0217
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),M,0.9448,0.9783
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),N,0.0004,0.0002
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),P,0.0548,0.0215
C_D_C1963281 ('Vomiting  CTCAE'),M,0.5581,0.5994
C_D_C1963281 ('Vomiting  CTCAE'),N,0.2513,0.2793
C_D_C1963281 ('Vomiting  CTCAE'),P,0.1906,0.1213
C_D_C1997237 (White sputum),M,0.9926,0.9991
C_D_C1997237 (White sputum),N,0.0004,0
C_D_C1997237 (White sputum),P,0.007,0.0008
C_D_C1998827 (Respiratory Status),M,0.9704,0.9977
C_D_C1998827 (Respiratory Status),N,0.0004,0
C_D_C1998827 (Respiratory Status),P,0.0292,0.0022
C_D_C1999266 ('Depression  CTCAE'),M,0.9502,0.8777
C_D_C1999266 ('Depression  CTCAE'),N,0.0156,0.0476
C_D_C1999266 ('Depression  CTCAE'),P,0.0342,0.0747
C_D_C2004062 (History of previous events),M,0.3384,0.6044
C_D_C2004062 (History of previous events),N,0.0389,0.0351
C_D_C2004062 (History of previous events),P,0.6227,0.3605
C_D_C2010848 (jaundice),M,0.8794,0.9465
C_D_C2010848 (jaundice),N,0.1151,0.0487
C_D_C2010848 (jaundice),P,0.0054,0.0047
C_D_C2108107 (continuous electrocardiogram sinus bradycardia (finding)),M,0.9953,0.9832
C_D_C2108107 (continuous electrocardiogram sinus bradycardia (finding)),N,0.0004,0
C_D_C2108107 (continuous electrocardiogram sinus bradycardia (finding)),P,0.0043,0.0167
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),M,0.9448,0.9783
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),N,0.0004,0.0002
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),P,0.0548,0.0215
C_D_C2239178 (Newborn (finding)),M,0.9872,0.9969
C_D_C2239178 (Newborn (finding)),N,0.0004,0.0001
C_D_C2239178 (Newborn (finding)),P,0.0124,0.0029
C_D_C2242996 (Has tingling sensation),M,0.9638,0.8938
C_D_C2242996 (Has tingling sensation),N,0.035,0.0929
C_D_C2242996 (Has tingling sensation),P,0.0012,0.0133
C_D_C2314972 (Ready for discharge),M,0.9992,0.9909
C_D_C2314972 (Ready for discharge),N,0.0004,0
C_D_C2314972 (Ready for discharge),P,0.0004,0.0091
C_D_C2364135 (Discomfort),M,0.9712,0.92
C_D_C2364135 (Discomfort),N,0.0008,0.0041
C_D_C2364135 (Discomfort),P,0.028,0.0759
C_D_C2673594 (Oral mucosal lesions),M,0.9973,0.9862
C_D_C2673594 (Oral mucosal lesions),N,0.0023,0.0137
C_D_C2673594 (Oral mucosal lesions),P,0.0004,0
C_D_C2709070 (on room air),M,0.8849,0.9364
C_D_C2709070 (on room air),N,0.0012,0.0014
C_D_C2709070 (on room air),P,0.114,0.0622
C_D_C2712334 (Actual Aspiration),M,0.9704,0.9887
C_D_C2712334 (Actual Aspiration),N,0.0012,0.0007
C_D_C2712334 (Actual Aspiration),P,0.0284,0.0106
C_D_C2750120 (Interstitial thickening),M,0.9946,0.9998
C_D_C2750120 (Interstitial thickening),N,0.0004,0
C_D_C2750120 (Interstitial thickening),P,0.0051,0.0001
C_D_C2825142 (Experimental Result),M,0.93,0.9616
C_D_C2825142 (Experimental Result),N,0.0012,0.0004
C_D_C2825142 (Experimental Result),P,0.0688,0.038
C_D_C2826292 (Related to Cancer),M,0.7596,0.8757
C_D_C2826292 (Related to Cancer),N,0.0019,0.0023
C_D_C2826292 (Related to Cancer),P,0.2384,0.1219
C_D_C2826600 (Tissue Congestion),M,0.7725,0.9411
C_D_C2826600 (Tissue Congestion),N,0.0113,0.0188
C_D_C2826600 (Tissue Congestion),P,0.2163,0.0401
C_D_C2827071 (Unintentional Material Aspiration),M,0.9704,0.9887
C_D_C2827071 (Unintentional Material Aspiration),N,0.0012,0.0007
C_D_C2827071 (Unintentional Material Aspiration),P,0.0284,0.0106
C_D_C2926602 ('Discharge  body substance'),M,0.401,0.3489
C_D_C2926602 ('Discharge  body substance'),N,0.3224,0.1412
C_D_C2926602 ('Discharge  body substance'),P,0.2765,0.5099
C_D_C2957312 (Head bobbing),M,0.986,0.9987
C_D_C2957312 (Head bobbing),N,0.0047,0.0008
C_D_C2957312 (Head bobbing),P,0.0093,0.0004
C_D_C3160712 ('Palpitations  CTCAE'),M,0.907,0.7938
C_D_C3160712 ('Palpitations  CTCAE'),N,0.0459,0.1131
C_D_C3160712 ('Palpitations  CTCAE'),P,0.0471,0.0931
C_D_C3242635 (IV drug use),M,0.9891,0.9667
C_D_C3242635 (IV drug use),N,0.0054,0.0137
C_D_C3242635 (IV drug use),P,0.0054,0.0196
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),M,0.9595,0.9948
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),N,0.0156,0.0008
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),P,0.0249,0.0044
C_D_C3472705 (Mild dehydration),M,0.9802,0.9943
C_D_C3472705 (Mild dehydration),N,0.0004,0
C_D_C3472705 (Mild dehydration),P,0.0194,0.0057
C_D_C3539909 (Allergic disposition),M,0.8783,0.9417
C_D_C3539909 (Allergic disposition),N,0.0004,0.001
C_D_C3539909 (Allergic disposition),P,0.1214,0.0573
C_D_C3641827 (Agree),M,0.8794,0.8148
C_D_C3641827 (Agree),N,0.0012,0.0039
C_D_C3641827 (Agree),P,0.1194,0.1813
C_D_C3714536 (Social History),M,0.0463,0.0956
C_D_C3714536 (Social History),N,0.0105,0.0246
C_D_C3714536 (Social History),P,0.9432,0.8797
C_D_C3714552 (Weakness),M,0.8156,0.663
C_D_C3714552 (Weakness),N,0.0323,0.1044
C_D_C3714552 (Weakness),P,0.1521,0.2326
C_D_C3714772 (Recurrent fevers),M,0.9844,0.9803
C_D_C3714772 (Recurrent fevers),N,0.0043,0.0178
C_D_C3714772 (Recurrent fevers),P,0.0113,0.0018
C_D_C3810851 (Center of town),M,0.9895,0.9733
C_D_C3810851 (Center of town),N,0.0008,0.0001
C_D_C3810851 (Center of town),P,0.0097,0.0265
C_D_C3812660 (Skin Bruise),M,0.9918,0.9466
C_D_C3812660 (Skin Bruise),N,0.0008,0.0106
C_D_C3812660 (Skin Bruise),P,0.0074,0.0427
C_D_C3813276 (Labor After Cesarean),M,0.9992,0.9902
C_D_C3813276 (Labor After Cesarean),N,0.0004,0.0002
C_D_C3813276 (Labor After Cesarean),P,0.0004,0.0095
C_D_C3814420 (Full Term Birth),M,0.8977,0.9777
C_D_C3814420 (Full Term Birth),N,0.0004,0.0002
C_D_C3814420 (Full Term Birth),P,0.1019,0.022
C_D_C3827868 (Tachycardia by ECG Finding),M,0.7985,0.9341
C_D_C3827868 (Tachycardia by ECG Finding),N,0.0132,0.0207
C_D_C3827868 (Tachycardia by ECG Finding),P,0.1883,0.0452
C_D_C3835651 (Resident - answer to question),M,0.7775,0.6289
C_D_C3835651 (Resident - answer to question),N,0.0031,0.0008
C_D_C3835651 (Resident - answer to question),P,0.2194,0.3703
C_D_C3842633 (At work),M,0.9965,0.9792
C_D_C3842633 (At work),N,0.0004,0.0003
C_D_C3842633 (At work),P,0.0031,0.0205
C_D_C3842674 (Day 5),M,0.9903,0.999
C_D_C3842674 (Day 5),N,0.0004,0
C_D_C3842674 (Day 5),P,0.0093,0.001
C_D_C3842982 (Numbness or tingling),M,0.9907,0.9596
C_D_C3842982 (Numbness or tingling),N,0.0031,0.0145
C_D_C3842982 (Numbness or tingling),P,0.0062,0.0259
C_D_C3843197 (One or Two Days),M,0.9665,0.9871
C_D_C3843197 (One or Two Days),N,0.0008,0.0001
C_D_C3843197 (One or Two Days),P,0.0327,0.0128
C_D_C3843946 (Nausea or vomiting),M,0.9642,0.9361
C_D_C3843946 (Nausea or vomiting),N,0.0237,0.0346
C_D_C3843946 (Nausea or vomiting),P,0.0121,0.0293
C_D_C3890735 (Complete Response with Incomplete Platelet Recovery),M,0.9642,0.9842
C_D_C3890735 (Complete Response with Incomplete Platelet Recovery),N,0.0008,0.0002
C_D_C3890735 (Complete Response with Incomplete Platelet Recovery),P,0.035,0.0156
C_D_C3898139 (New or Worsening Symptom),M,0.9856,0.9477
C_D_C3898139 (New or Worsening Symptom),N,0.0008,0.0004
C_D_C3898139 (New or Worsening Symptom),P,0.0136,0.052
C_D_C4018905 (Too early),M,0.9689,0.9921
C_D_C4018905 (Too early),N,0.0004,0.0002
C_D_C4018905 (Too early),P,0.0307,0.0077
C_D_C4018909 (Overdose),M,0.9992,0.9897
C_D_C4018909 (Overdose),N,0.0004,0.0003
C_D_C4018909 (Overdose),P,0.0004,0.0101
C_D_C4035626 (3 times),M,0.9055,0.8495
C_D_C4035626 (3 times),N,0.0004,0.0002
C_D_C4035626 (3 times),P,0.0941,0.1503
C_D_C4035627 (2 times),M,0.8569,0.7778
C_D_C4035627 (2 times),N,0.0004,0.0001
C_D_C4035627 (2 times),P,0.1427,0.2221
C_D_C4049863 (Radiologic Impression),M,0.0591,0.1346
C_D_C4049863 (Radiologic Impression),N,0.0039,0.0028
C_D_C4049863 (Radiologic Impression),P,0.937,0.8626
C_D_C4050223 (Progressive Metabolic Disease),M,0.9724,0.9881
C_D_C4050223 (Progressive Metabolic Disease),N,0.0008,0
C_D_C4050223 (Progressive Metabolic Disease),P,0.0268,0.0119
C_D_C4050242 (Pathologic Complete Response),M,0.9833,0.9978
C_D_C4050242 (Pathologic Complete Response),N,0.0004,0.0001
C_D_C4050242 (Pathologic Complete Response),P,0.0163,0.0021
C_D_C4050568 (High Risk Acute Leukemia),M,0.9595,0.9948
C_D_C4050568 (High Risk Acute Leukemia),N,0.0156,0.0008
C_D_C4050568 (High Risk Acute Leukemia),P,0.0249,0.0044
C_D_C4054315 (Organomegaly),M,0.7137,0.7547
C_D_C4054315 (Organomegaly),N,0.2851,0.2436
C_D_C4054315 (Organomegaly),P,0.0012,0.0017
C_D_C4061338 (Oxygen desaturation),M,0.9903,0.9995
C_D_C4061338 (Oxygen desaturation),N,0.0016,0
C_D_C4061338 (Oxygen desaturation),P,0.0082,0.0004
C_D_C4068744 (Reactive to light),M,0.8689,0.7989
C_D_C4068744 (Reactive to light),N,0.0004,0.0001
C_D_C4068744 (Reactive to light),P,0.1307,0.201
C_D_C4068782 (Labored),M,0.9782,0.9426
C_D_C4068782 (Labored),N,0.0004,0
C_D_C4068782 (Labored),P,0.0214,0.0574
C_D_C4068789 (Numbness and Tingling),M,0.9992,0.9912
C_D_C4068789 (Numbness and Tingling),N,0.0004,0.0014
C_D_C4068789 (Numbness and Tingling),P,0.0004,0.0074
C_D_C4068833 (Vascularity),M,0.9837,0.9955
C_D_C4068833 (Vascularity),N,0.0004,0
C_D_C4068833 (Vascularity),P,0.0159,0.0045
C_D_C4084203 (Improved - answer to question),M,0.846,0.8931
C_D_C4084203 (Improved - answer to question),N,0.0128,0.0052
C_D_C4084203 (Improved - answer to question),P,0.1412,0.1017
C_D_C4084859 (Peribronchial Cuffing),M,0.956,0.9979
C_D_C4084859 (Peribronchial Cuffing),N,0.0004,0
C_D_C4084859 (Peribronchial Cuffing),P,0.0436,0.0021
C_D_C4255036 (Sips),M,0.9876,0.9971
C_D_C4255036 (Sips),N,0.0004,0
C_D_C4255036 (Sips),P,0.0121,0.0029
C_D_C4264325 (Well-hydrated),M,0.9576,0.9892
C_D_C4264325 (Well-hydrated),N,0.0008,0.0001
C_D_C4264325 (Well-hydrated),P,0.0416,0.0107
C_D_C4264428 (Mildly dehydrated),M,0.9883,0.9981
C_D_C4264428 (Mildly dehydrated),N,0.0004,0
C_D_C4264428 (Mildly dehydrated),P,0.0113,0.0018
C_D_C4264481 (4 times),M,0.944,0.9115
C_D_C4264481 (4 times),N,0.0004,0.0001
C_D_C4264481 (4 times),P,0.0556,0.0883
C_D_C4281574 (Much),M,0.8553,0.8143
C_D_C4281574 (Much),N,0.0171,0.0088
C_D_C4281574 (Much),P,0.1276,0.1769
C_D_C4282165 (Swollen Lymph Node),M,0.5523,0.6714
C_D_C4282165 (Swollen Lymph Node),N,0.4146,0.3046
C_D_C4282165 (Swollen Lymph Node),P,0.0331,0.0241
C_D_C4283785 (Complete Pharyngeal Contraction),M,0.8549,0.9224
C_D_C4283785 (Complete Pharyngeal Contraction),N,0.0023,0.0034
C_D_C4283785 (Complete Pharyngeal Contraction),P,0.1427,0.0741
C_D_C4283904 (Laboratory observation),M,0.6188,0.8586
C_D_C4283904 (Laboratory observation),N,0.0027,0.0013
C_D_C4283904 (Laboratory observation),P,0.3785,0.1402
C_D_C4314218 (Abnormal balance),M,0.9895,0.9704
C_D_C4314218 (Abnormal balance),N,0.0097,0.0264
C_D_C4314218 (Abnormal balance),P,0.0008,0.0032
C_D_C4318482 (Crutches Usually Used),M,0.9984,0.9835
C_D_C4318482 (Crutches Usually Used),N,0.0004,0.0003
C_D_C4318482 (Crutches Usually Used),P,0.0012,0.0162
C_D_C4319571 (High risk),M,0.9595,0.9948
C_D_C4319571 (High risk),N,0.0156,0.0008
C_D_C4319571 (High risk),P,0.0249,0.0044
C_D_C4319730 (Completely Able),M,0.9829,0.9538
C_D_C4319730 (Completely Able),N,0.0008,0.0049
C_D_C4319730 (Completely Able),P,0.0163,0.0413
C_D_C4319731 (Complete Agreement),M,0.9829,0.9538
C_D_C4319731 (Complete Agreement),N,0.0008,0.0049
C_D_C4319731 (Complete Agreement),P,0.0163,0.0414
C_D_C4321237 (High Level),M,0.7919,0.9285
C_D_C4321237 (High Level),N,0.0124,0.0024
C_D_C4321237 (High Level),P,0.1956,0.0691
C_D_C4321351 (Low Level),M,0.762,0.8488
C_D_C4321351 (Low Level),N,0.0089,0.013
C_D_C4321351 (Low Level),P,0.2291,0.1381
C_D_C4520890 (Nasal (intended site)),M,0.9382,0.961
C_D_C4520890 (Nasal (intended site)),N,0.0043,0.0085
C_D_C4520890 (Nasal (intended site)),P,0.0576,0.0305
C_D_C4521229 (Neck Pain Score 6),M,0.9961,0.9847
C_D_C4521229 (Neck Pain Score 6),N,0.0004,0.0007
C_D_C4521229 (Neck Pain Score 6),P,0.0035,0.0146
C_D_C4521903 (Rectal (intended site)),M,0.7433,0.9371
C_D_C4521903 (Rectal (intended site)),N,0.0019,0.002
C_D_C4521903 (Rectal (intended site)),P,0.2548,0.0608
C_D_C4521986 (Oral (intended site)),M,0.7565,0.8049
C_D_C4521986 (Oral (intended site)),N,0.0086,0.0087
C_D_C4521986 (Oral (intended site)),P,0.2349,0.1864
C_D_C4522216 (Influenza B (result)),M,0.9911,0.9999
C_D_C4522216 (Influenza B (result)),N,0.0004,0
C_D_C4522216 (Influenza B (result)),P,0.0086,0
C_D_C4534306 (Supplemental oxygen),M,0.979,0.9978
C_D_C4534306 (Supplemental oxygen),N,0.0019,0
C_D_C4534306 (Supplemental oxygen),P,0.0191,0.0021
C_D_C4534363 (At home),M,0.6021,0.7627
C_D_C4534363 (At home),N,0.0105,0.0057
C_D_C4534363 (At home),P,0.3874,0.2317
C_D_C4551932 ('Otitis Media  CTCAE'),M,0.9467,0.9864
C_D_C4551932 ('Otitis Media  CTCAE'),N,0.0031,0.0008
C_D_C4551932 ('Otitis Media  CTCAE'),P,0.0502,0.0128
C_D_C4552646 ('Myalgia  CTCAE 5'),M,0.9848,0.9973
C_D_C4552646 ('Myalgia  CTCAE 5'),N,0.0012,0.0004
C_D_C4552646 ('Myalgia  CTCAE 5'),P,0.014,0.0023
C_D_C4552651 ('Respiratory Failure  CTCAE'),M,0.9724,0.997
C_D_C4552651 ('Respiratory Failure  CTCAE'),N,0.0008,0.0002
C_D_C4552651 ('Respiratory Failure  CTCAE'),P,0.0268,0.0028
C_D_C4552662 ('Rhinorrhea  CTCAE'),M,0.8347,0.8949
C_D_C4552662 ('Rhinorrhea  CTCAE'),N,0.0303,0.0598
C_D_C4552662 ('Rhinorrhea  CTCAE'),P,0.135,0.0452
C_D_C4552735 ('Anxiety  CTCAE 5.0'),M,0.944,0.8689
C_D_C4552735 ('Anxiety  CTCAE 5.0'),N,0.0226,0.0561
C_D_C4552735 ('Anxiety  CTCAE 5.0'),P,0.0335,0.075
C_D_C4552740 ('Fever  CTCAE'),M,0.2081,0.4779
C_D_C4552740 ('Fever  CTCAE'),N,0.1505,0.4021
C_D_C4552740 ('Fever  CTCAE'),P,0.6414,0.1199
C_D_C4552746 ('Sore Throat  CTCAE'),M,0.7382,0.724
C_D_C4552746 ('Sore Throat  CTCAE'),N,0.0887,0.1636
C_D_C4552746 ('Sore Throat  CTCAE'),P,0.1731,0.1125
C_D_C4552777 ('Pleural Effusion  CTCAE'),M,0.9078,0.9798
C_D_C4552777 ('Pleural Effusion  CTCAE'),N,0.0366,0.0053
C_D_C4552777 ('Pleural Effusion  CTCAE'),P,0.0556,0.0149
C_D_C4552837 ('Sepsis  CTCAE'),M,0.9261,0.9817
C_D_C4552837 ('Sepsis  CTCAE'),N,0.0047,0.0014
C_D_C4552837 ('Sepsis  CTCAE'),P,0.0692,0.0169
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),M,0.9786,0.9946
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),N,0.0004,0
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),P,0.021,0.0054
C_D_C4552844 ('Meningitis  CTCAE'),M,0.9471,0.9754
C_D_C4552844 ('Meningitis  CTCAE'),N,0.0019,0.002
C_D_C4552844 ('Meningitis  CTCAE'),P,0.051,0.0225
C_D_C4552845 ('Arthritis  CTCAE'),M,0.9525,0.9154
C_D_C4552845 ('Arthritis  CTCAE'),N,0.0004,0.0007
C_D_C4552845 ('Arthritis  CTCAE'),P,0.0471,0.0838
C_D_C4552901 ('Bronchospasm  CTCAE'),M,0.9856,0.9962
C_D_C4552901 ('Bronchospasm  CTCAE'),N,0.0019,0.0002
C_D_C4552901 ('Bronchospasm  CTCAE'),P,0.0124,0.0036
C_D_C4552903 ('Lethargy  CTCAE'),M,0.9677,0.9907
C_D_C4552903 ('Lethargy  CTCAE'),N,0.0047,0.002
C_D_C4552903 ('Lethargy  CTCAE'),P,0.0276,0.0072
C_D_C4552938 ('Productive Cough  CTCAE'),M,0.9498,0.9802
C_D_C4552938 ('Productive Cough  CTCAE'),N,0.0027,0.0014
C_D_C4552938 ('Productive Cough  CTCAE'),P,0.0475,0.0183
C_D_C4552984 ('Tracheitis  CTCAE'),M,0.9864,0.9994
C_D_C4552984 ('Tracheitis  CTCAE'),N,0.0004,0.0001
C_D_C4552984 ('Tracheitis  CTCAE'),P,0.0132,0.0005
C_D_C4552989 ('Malaise  CTCAE'),M,0.9553,0.9704
C_D_C4552989 ('Malaise  CTCAE'),N,0.0039,0.0108
C_D_C4552989 ('Malaise  CTCAE'),P,0.0408,0.0188
C_D_C4553004 ('Pain  CTCAE'),M,0.7783,0.4656
C_D_C4553004 ('Pain  CTCAE'),N,0.0747,0.1356
C_D_C4553004 ('Pain  CTCAE'),P,0.147,0.3988
C_D_C4553119 ('Flank Pain  CTCAE'),M,0.9973,0.9761
C_D_C4553119 ('Flank Pain  CTCAE'),N,0.0012,0.003
C_D_C4553119 ('Flank Pain  CTCAE'),P,0.0016,0.0209
C_D_C4553185 ('Chills  CTCAE'),M,0.7725,0.5899
C_D_C4553185 ('Chills  CTCAE'),N,0.056,0.1939
C_D_C4553185 ('Chills  CTCAE'),P,0.1715,0.2161
C_D_C4553186 ('Cholecystitis  CTCAE 5.0'),M,0.9926,0.9793
C_D_C4553186 ('Cholecystitis  CTCAE 5.0'),N,0.0004,0.0014
C_D_C4553186 ('Cholecystitis  CTCAE 5.0'),P,0.007,0.0193
C_D_C4553197 ('Headache  CTCAE'),M,0.7631,0.6854
C_D_C4553197 ('Headache  CTCAE'),N,0.0933,0.1902
C_D_C4553197 ('Headache  CTCAE'),P,0.1435,0.1244
C_D_C4553305 ('Conjunctivitis  CTCAE'),M,0.986,0.9895
C_D_C4553305 ('Conjunctivitis  CTCAE'),N,0.0023,0.0007
C_D_C4553305 ('Conjunctivitis  CTCAE'),P,0.0117,0.0099
C_D_C4553308 ('Pharyngitis  CTCAE'),M,0.9603,0.9805
C_D_C4553308 ('Pharyngitis  CTCAE'),N,0.0019,0.0008
C_D_C4553308 ('Pharyngitis  CTCAE'),P,0.0377,0.0187
C_D_C4553314 ('Hallucinations  CTCAE'),M,0.9946,0.9834
C_D_C4553314 ('Hallucinations  CTCAE'),N,0.0008,0.0092
C_D_C4553314 ('Hallucinations  CTCAE'),P,0.0047,0.0073
C_D_C4553401 ('Seizure  CTCAE 5.0'),M,0.9218,0.9456
C_D_C4553401 ('Seizure  CTCAE 5.0'),N,0.0405,0.018
C_D_C4553401 ('Seizure  CTCAE 5.0'),P,0.0377,0.0364
C_D_C4553526 ('Appendicitis  CTCAE'),M,0.9868,0.9661
C_D_C4553526 ('Appendicitis  CTCAE'),N,0.0012,0.0045
C_D_C4553526 ('Appendicitis  CTCAE'),P,0.0121,0.0294
C_D_C4553554 ('Sinus Tachycardia  CTCAE 5.0'),M,0.9448,0.9783
C_D_C4553554 ('Sinus Tachycardia  CTCAE 5.0'),N,0.0004,0.0002
C_D_C4553554 ('Sinus Tachycardia  CTCAE 5.0'),P,0.0548,0.0215
C_D_C4553646 ('Cyanosis  CTCAE'),M,0.949,0.9587
C_D_C4553646 ('Cyanosis  CTCAE'),N,0.0206,0.0279
C_D_C4553646 ('Cyanosis  CTCAE'),P,0.0303,0.0134
C_D_C4553722 ('Eye Pain  CTCAE 5.0'),M,0.9588,0.9306
C_D_C4553722 ('Eye Pain  CTCAE 5.0'),N,0.0093,0.0077
C_D_C4553722 ('Eye Pain  CTCAE 5.0'),P,0.0319,0.0618
C_D_C4553726 ('Fall  CTCAE'),M,0.9833,0.9134
